               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.028279,             0.01091,                   0,             0.85167,             0.92857,             0.89557,             0.51742,            0.029995,           0.0042836,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.028702,            0.010505,                   0,             0.82257,             0.71429,             0.72506,             0.31518,            0.044234,           0.0037667,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.027032,            0.010715,                   0,             0.99287,             0.85714,             0.91678,              0.3909,            0.038392,           0.0040367,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.026895,            0.010428,                   0,              0.8925,             0.78571,             0.81907,             0.49033,            0.033119,           0.0045037,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.027309,            0.010938,                   0,             0.99014,             0.85714,             0.90837,             0.50284,            0.031073,           0.0041634,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.025706,            0.010306,                   0,             0.99718,             0.92857,             0.95079,              0.5185,            0.031561,           0.0042749,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.026518,            0.010123,                   0,             0.90794,             0.78571,             0.83558,             0.38294,            0.037394,           0.0041074,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.02662,           0.0098945,                   0,             0.91953,             0.92857,             0.94879,             0.50288,            0.032988,           0.0038512,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.024809,             0.00996,                   0,             0.98115,             0.92857,              0.9489,             0.52554,            0.033691,           0.0035951,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.025673,            0.010423,                   0,             0.96502,             0.92857,             0.98625,             0.50806,            0.031935,           0.0033713,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.024324,           0.0097515,                   0,             0.98994,             0.92857,               0.974,             0.52246,            0.031255,           0.0034052,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.025443,            0.010239,                   0,             0.99369,             0.92857,             0.95563,             0.49026,             0.03328,           0.0037515,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.025946,           0.0098419,                   0,             0.97153,             0.92857,             0.92706,             0.51848,            0.031136,           0.0040023,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.023887,           0.0098083,                   0,             0.98257,             0.92857,             0.92685,             0.53456,            0.030977,           0.0040097,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.024814,           0.0098762,                   0,             0.99449,             0.92857,             0.92711,             0.54051,            0.031015,           0.0039881,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.023656,            0.009385,                   0,             0.99793,             0.92857,             0.92701,             0.50955,            0.033435,           0.0040948,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.02359,           0.0093886,                   0,             0.99274,             0.92857,             0.92742,             0.50553,            0.035468,           0.0039055,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.023773,           0.0095388,                   0,                   1,              0.9252,             0.92795,             0.47249,              0.0344,           0.0041214,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.02357,           0.0091907,                   0,                   1,              0.9212,             0.92771,             0.50587,            0.032605,            0.004257,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.025122,           0.0093678,                   0,             0.99444,             0.85714,              0.9229,             0.52426,            0.031944,           0.0041751,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.023177,            0.009395,                   0,             0.92778,             0.92857,             0.92827,             0.54862,             0.03187,           0.0039289,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.022253,            0.008829,                   0,             0.91926,             0.92857,             0.92364,             0.50307,            0.032806,           0.0039397,                   0,            0.004159,            0.004159,            0.004159
                  61,              0.0226,           0.0093343,                   0,                   1,             0.91179,             0.92844,             0.46375,            0.033036,           0.0039315,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022341,           0.0096117,                   0,             0.99909,             0.92857,             0.92849,             0.47655,            0.032614,           0.0039095,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.022111,           0.0091553,                   0,             0.99026,             0.92857,             0.92793,             0.48858,            0.031934,           0.0037396,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.020867,           0.0092415,                   0,              0.9868,             0.92857,             0.92786,             0.51444,            0.030012,           0.0036273,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.021829,           0.0084636,                   0,             0.99014,             0.92857,             0.92795,             0.47924,            0.032766,           0.0035897,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.022711,           0.0090461,                   0,             0.98804,             0.92857,             0.92802,             0.52365,            0.030042,            0.003692,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.022534,           0.0085869,                   0,             0.99495,             0.92857,             0.92819,             0.54668,            0.030826,           0.0036502,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.020324,            0.008749,                   0,             0.99185,             0.92857,             0.92856,             0.51904,            0.032648,           0.0037299,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.022435,           0.0083001,                   0,             0.98334,             0.92857,             0.92809,             0.54178,            0.030188,           0.0038582,                   0,            0.003268,            0.003268,            0.003268
                  70,             0.02168,           0.0085599,                   0,                   1,             0.90965,               0.935,             0.56186,            0.029506,           0.0036946,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.020782,           0.0091791,                   0,               0.979,             0.92857,             0.94585,             0.55784,            0.030713,            0.003542,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.020296,           0.0087626,                   0,             0.99298,             0.92857,             0.94833,             0.54805,            0.030593,           0.0033831,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.019312,           0.0076496,                   0,             0.99167,             0.92857,             0.95879,             0.51006,            0.031038,           0.0031881,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.019901,           0.0092043,                   0,             0.99166,             0.92857,             0.97658,             0.54855,            0.030771,           0.0031463,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.020174,           0.0087669,                   0,             0.99159,             0.92857,              0.9642,             0.52773,             0.02995,           0.0033555,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.020101,           0.0093371,                   0,                   1,             0.92247,             0.95149,             0.53942,             0.03007,           0.0034087,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.01974,           0.0085303,                   0,                   1,             0.91655,              0.9463,             0.50429,            0.030142,           0.0033729,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.018882,           0.0083601,                   0,                   1,             0.92359,             0.94219,             0.51138,            0.030893,           0.0034519,                   0,            0.002377,            0.002377,            0.002377
